,idk,number,adress,zipcode,city,idk3,lat,long
20772,772440222E-5228A,5228A,Chemin de Jacqueville,77760,Larchant,CAD,48.284607,2.589342
20774,772440440S-18,18,Rue des Sablons,77760,Larchant,C+O,48.284197999999996,2.594593
20775,772440141S-7,7,Rue des Fossés Bretonnières,77760,Larchant,C+O,48.283763,2.598749
20776,772440220C-29,29,Avenue Jacques Louis Dumesnil,77760,Larchant,C+O,48.283792,2.6035630000000003
20777,772440560X-5,5,Route de Villiers,77760,Larchant,C+O,48.283454,2.608283
20778,772440320L-5248,5248,Route de Nemours,77760,Larchant,C+O,48.2816,2.612142
20779,77244B079F-5326,5326,Le Marais,77760,Larchant,CAD,48.286757,2.616971
20789,774311055X-37,37,Rue des Longs Réages,77140,Saint-Pierre-lès-Nemours,C+O,48.27622,2.665566
20790,774310150N-10,10,Chemin de Busseau,77140,Saint-Pierre-lès-Nemours,C+O,48.284213,2.674101
20792,774310200T-68,68,Rue du Château,77140,Saint-Pierre-lès-Nemours,C+O,48.284213,2.677125
20793,774310305G-10,10,Place des Coquelicots,77140,Saint-Pierre-lès-Nemours,C+O,48.283102,2.680803
20794,774310180W-142,142,Avenue Carnot,77140,Saint-Pierre-lès-Nemours,C+O,48.282914,2.6834919999999998
20796,773330490J-135,135,Route de Moret,77140,Nemours,OSM,48.28219,2.697229
20797,77156B031L-5165,5165,Les Fromonvilles,77140,Darvault,CAD,48.283846999999994,2.700123
20798,77156B031L-5195,5195,Les Fromonvilles,77140,Darvault,CAD,48.284146,2.7008810000000003
20805,77156B005H-5159,5159,Basse Plaine,77140,Darvault,CAD,48.291855,2.735735
20806,77340B054L-5152,5152,Le Tertre,77140,Nonville,CAD,48.287529,2.745502
20815,773400180S-5178,5178,Chemin Vert,77140,Nonville,CAD,48.28425,2.781917
20816,773400110R-43,43,Rue Grande,77140,Nonville,C+O,48.285765999999995,2.787593
20817,773400110R-17,17,Rue Grande,77140,Nonville,C+O,48.284184,2.791399
20818,773400169E-2,2,Rue de Treuzy,77140,Nonville,C+O,48.282071,2.794929
20819,77473B013N-5142,5142,La Brosse,77710,Treuzy-Levelay,CAD,48.282425,2.80477
20822,774730020P-1B,1BIS,Rue des Bourguignons,77710,Treuzy-Levelay,C+O,48.285049,2.81818
20824,774730020P-7,7,Rue des Bourguignons,77710,Treuzy-Levelay,C+O,48.285179,2.82071
20827,77506B078R-5202,5202,Roche Fort,77250,Villemer,CAD,48.295472,2.835387
20830,77506B029M-1,1,Chemin de Nemours,77250,Villemer,CAD,48.287579,2.857211
20832,775060340U-2,2,Route de Lorrez,77250,Villemer,C+O,48.287554,2.859846
20833,775040220X-8,8,Rue de la Sabliere,77710,Villemaréchal,CAD,48.284290000000006,2.864201
20834,775040020E-14,14,Rue de Bourgogne,77710,Villemaréchal,C+O,48.284069,2.868722
20835,775040020E-33,33,Rue de Bourgogne,77710,Villemaréchal,C+O,48.284762,2.870862
20837,775040015Z-4B,4BIS,Route de la Borde,77710,Villemaréchal,C+O,48.278904,2.8892889999999998
20838,775040015Z-2,2,Route de la Borde,77710,Villemaréchal,C+O,48.279337,2.890057
20853,775310320N-55,55,Rue Pasteur,77940,Voulx,C+O,48.283428,2.9571810000000003
20854,775310185S-4,4,Chemin des Foulons,77940,Voulx,C+O,48.284013,2.960169
20855,775310193A-26,26,Avenue du Général de Gaulle,77940,Voulx,OSM,48.284853000000005,2.964699
20856,775310195C-3,3,Rue de la Grenouillère,77940,Voulx,C+O,48.283766,2.9693330000000002
20857,775310196D-8,8,Chemin du Gué du Bois Millet,77940,Voulx,C+O,48.283496,2.9741720000000003
20858,775310135M-5697,5697,Route de Diant,77940,Voulx,CAD,48.28267,2.9819310000000003
20860,771580167U-2,2,Chemin de la Fouquette,77940,Diant,CAD,48.282315999999994,2.987854
20861,771580241Z-1,1,Rue des Pays Chauds,77940,Diant,CAD,48.283507,2.993481
20862,771580225G-1,1,Rue de Montmachoux,77940,Diant,CAD,48.28405,2.995549
20864,77158B109M-5122,5122,Les Quatre Chemins,77940,Diant,CAD,48.289134000000004,3.001431
20865,77158B042P-5124,5124,Diant,77940,Diant,CAD,48.293003999999996,3.005243
21065,910160219X-12,12,Place d'Ouestreville,91670,Angerville,C+O,48.305254,1.980716
21068,91016B027V-9002,9002,Derriere Ouestreville,91670,Angerville,CAD,48.300807,1.981206
21100,910160036Y-6,6,Rue de la Chapelle,91670,Angerville,C+O,48.292636,2.0097
21101,910160036Y-16,16,Rue de la Chapelle,91670,Angerville,C+O,48.291999,2.010055
21171,911120020N-2A,2A,Grande Rue,91150,Brouy,C+O,48.325461,2.288801
21172,910690063X-5000,5000,Rue Prinvaux,91720,Boigneville,C+O,48.321118,2.3658639999999997
21187,77328B065A-9001,9001,Pres du Moulin de Malesher,77760,Nanteau-sur-Essonne,CAD,48.301074,2.41957
21189,77060B068U-5303,5303,Le Marais de Malesherbes,77760,Buthiers,CAD,48.299467,2.420704
21192,770600053W-9,9,Route de Puiseaux,77760,Buthiers,C+O,48.284186,2.425888
21193,770600035B-8,8,Rue de l'Église,77760,Buthiers,C+O,48.285903000000005,2.427207
21194,770600055Y-24,24,Rue des Roches,77760,Buthiers,C+O,48.288678000000004,2.430038
21195,770600052V-29,29,Rue du Pillage,77760,Buthiers,C+O,48.28824,2.434536
21197,770600041H-120,120,Route d'Herbeauvilliers,77760,Buthiers,C+O,48.289190000000005,2.4441040000000003
21199,77060B050Z-5333,5333,Le Grand Chemin,77760,Buthiers,CAD,48.290576,2.454462
21201,770600041H-258,258,Route d'Herbeauvilliers,77760,Buthiers,C+O,48.287773,2.463099
21202,770600041H-274,274,Route d'Herbeauvilliers,77760,Buthiers,C+O,48.288066,2.465723
21203,770600037D-62,62,Rue de la Gare,77760,Buthiers,C+O,48.287074,2.475519
21204,770600037D-83,83,Rue de la Gare,77760,Buthiers,C+O,48.289409,2.476204
21205,770600037D-79,79,Rue de la Gare,77760,Buthiers,C+O,48.288897,2.477564
21214,770030160K-3,3,Rue du Vieux Puits,77760,Amponville,C+O,48.293042,2.526775
21215,770030160K-1,1,Rue du Vieux Puits,77760,Amponville,C+O,48.292905,2.526914
21216,77003B036G-5114,5114,Les Justices de Jacquevill,77760,Amponville,CAD,48.292703,2.531148
21218,77003B058F-5116,5116,La Roche aux Sages,77760,Amponville,CAD,48.28929,2.5379150000000004
21223,770880260Z-49,49,Rue du Général de Gaulle,77760,La Chapelle-la-Reine,OSM,48.309467,2.5713369999999998
21225,772440260W-5224,5224,Chemin du Larry St Mare,77760,Larchant,CAD,48.288557,2.589379
21230,772440030W-7,7,Chemin des Bardins,77760,Larchant,C+O,48.287116,2.594386
21231,772440300P-7,7,Chemin du Marais,77760,Larchant,C+O,48.286464,2.5994610000000002
21232,772440340H-48,48,Chemin des Pardons,77760,Larchant,C+O,48.286256,2.60226
21233,772440340H-6,6,Chemin des Pardons,77760,Larchant,C+O,48.284662,2.607401
21234,77244B079F-5321,5321,Le Marais,77760,Larchant,CAD,48.288843,2.6150189999999998
21235,77244B079F-5246,5246,Le Marais,77760,Larchant,CAD,48.286955,2.6165700000000003
21247,774310200T-831,831,Rue du Château,77140,Saint-Pierre-lès-Nemours,C+O,48.285932,2.675664
21248,774310200T-5627,5627,Rue du Château,77140,Saint-Pierre-lès-Nemours,C+O,48.287261,2.676658
21251,77156B050G-5169,5169,Les Pres des Larris,77140,Darvault,CAD,48.288653000000004,2.692675
21252,77156B040W-5164,5164,Les Larris,77140,Darvault,CAD,48.289072999999995,2.693474
21253,773020060B-1,1,Rue de l'Église,77140,Montcourt-Fromonville,C+O,48.291810999999996,2.696494
21255,773020026P-5268,5268,Rue des Champs,77140,Montcourt-Fromonville,CAD,48.296186,2.703735
21256,773020066H-5274,5274,Chemin des Fossés,77140,Montcourt-Fromonville,C+O,48.298722999999995,2.707127
21259,77156B005H-5187,5187,Basse Plaine,77140,Darvault,CAD,48.292083,2.7354
21267,773400040P-17,17,Rue de Cherelles,77140,Nonville,C+O,48.291439000000004,2.769992
21270,773400130M-1,1,Rue de Mocquebaril,77140,Nonville,C+O,48.290966999999995,2.77808
21271,773400100E-47,47,Route de Fontainebleau,77140,Nonville,C+O,48.28921,2.782537
21272,773400148G-3,3,Impasse des Prés,77140,Nonville,C+O,48.287592,2.786843
21273,77340B035R-5140,5140,La Nosaye,77140,Nonville,CAD,48.288375,2.792272
21274,773400135T-6,6,Route de Montereau,77140,Nonville,C+O,48.288512,2.793316
21278,774730020P-1,1,Rue des Bourguignons,77710,Treuzy-Levelay,C+O,48.285410999999996,2.818156
21279,774730020P-2,2,Rue des Bourguignons,77710,Treuzy-Levelay,C+O,48.286064,2.819277
21280,774730020P-4,4,Rue des Bourguignons,77710,Treuzy-Levelay,C+O,48.285569,2.820265
21281,775060040T-5246,5246,Chemin de Bézanleu,77250,Villemer,C+O,48.29462,2.824937
21285,775060470K-1,1,Allee des Pommiers,77250,Villemer,CAD,48.299454,2.846701
21288,775060240K-3B,3BIS,Rue Froide,77250,Villemer,C+O,48.288514,2.8595099999999998
21289,775060340U-11,11,Route de Lorrez,77250,Villemer,C+O,48.28856,2.8602529999999997
