,idk,number,adress,zipcode,city,idk3,lat,long
0,78472B008J-5066,5066,Ecurie,78660,Orsonville,CAD,48.477769,1.806909
25,784780034E-11,11,Rue de la Plaine,78660,Paray-Douaville,OSM,48.449513,1.845768
30,91016B001S-9001,9001,Bassonville Sud,91670,Angerville,CAD,48.288282,1.9819080000000002
128,910160036Y-35,35,Rue de la Chapelle,91670,Angerville,C+O,48.290805,2.0114650000000003
139,913900968K-3B,3BIS,Route de Saint-Lubin,91660,Le Mérévillois,OSM,48.297129999999996,2.05399
147,91390B038F-5952,5952,Courcelles Ham,91660,Le Mérévillois,C+O,48.302232000000004,2.096074
148,913901010F-10,10,Rue des Blés d'Or,91660,Le Mérévillois,OSM,48.300901,2.136607
171,910670010Y-30,30,Rue de la Beauce,91150,Blandy,C+O,48.310831,2.255039
172,77027B067L-5444,5444,Le Mesnil,77890,Beaumont-du-Gâtinais,C+O,48.131554,2.447367
224,770270180C-10,10,Route de Gaubertin,77890,Beaumont-du-Gâtinais,C+O,48.130305,2.470675
231,770270380V-64,64,Rue du Pont,77890,Beaumont-du-Gâtinais,C+O,48.132321000000005,2.478756
232,77027B084E-80,80,Le Perray,77890,Beaumont-du-Gâtinais,C+O,48.12557,2.519123
235,77027B084E-77T,77TER,Le Perray,77890,Beaumont-du-Gâtinais,C+O,48.125308000000004,2.520045
247,77297B056A-5000,5000,Montagne à la Barbe,77570,Mondreville,CAD,48.136702,2.57693
249,77297B091N-9001,9001,La Vallee de la Bocquere,77570,Mondreville,CAD,48.132694,2.591153
260,772970041C-40,40,Rue de la Garde,77570,Mondreville,C+O,48.139674,2.616619
263,770990662N-2,2,Rue du Gué César,77570,Château-Landon,C+O,48.125563,2.6742060000000003
274,770990420A-6397,6397,Ham de Flumotte,77570,Château-Landon,CAD,48.125174,2.692632
276,770990420A-1,1,Ham de Flumotte,77570,Château-Landon,CAD,48.125151,2.693243
279,770990420A-6542,6542,Ham de Flumotte,77570,Château-Landon,CAD,48.125315,2.693772
287,770991280K-10,10,Ham du Pont de Dordives,77570,Château-Landon,CAD,48.145254,2.7513389999999998
291,770991280K-6,6,Ham du Pont de Dordives,77570,Château-Landon,CAD,48.145299,2.751722
293,77050B023N-5170,5170,Brandard,77620,Bransles,CAD,48.137706,2.805878
294,77050B023N-29,29,Brandard,77620,Bransles,CAD,48.137361999999996,2.806578
295,77050B023N-25,25,Brandard,77620,Bransles,CAD,48.136833,2.807729
305,77050B039F-5155,5155,Le Claveau,77620,Bransles,CAD,48.13879,2.8175529999999998
307,77050B049S-1,1,Les Gains,77620,Bransles,CAD,48.140094,2.844287
314,77050B049S-2,2,Les Gains,77620,Bransles,CAD,48.140691,2.846148
315,77050B002R-6,6,Barbigny,77620,Bransles,CAD,48.141495,2.848481
321,771680111P-5582,5582,Chemin de César,77620,Égreville,C+O,48.159620000000004,2.898317
324,771680040M-103,103,Route du Bignon,77620,Égreville,C+O,48.160602000000004,2.906375
325,771680111P-7,7,Chemin de César,77620,Égreville,C+O,48.160678999999995,2.907155
326,771680111P-15,15,Chemin de César,77620,Égreville,C+O,48.160847,2.908257
340,77168B013P-5560,5560,Les Bruyeres,77620,Égreville,CAD,48.177714,2.930848
348,77489B083V-5065F,5065F,Bois Lunain,77710,Vaux-sur-Lunain,CAD,48.206272,2.981695
351,77035B038V-5115,5115,Chemin du Pont de Paris,77940,Blennes,CAD,48.210577,2.993208
370,770350116Y-6,6,Rue des Ormes,77940,Blennes,CAD,48.226129,3.011498
375,770350180T-3,3,Ham de Villeneuve les Orme,77940,Blennes,CAD,48.226642,3.012065
379,77035B004H-5065,5065,Les Bergeries,77940,Blennes,CAD,48.254667,3.045914
407,773100060S-1,1,Chemin des Creux Callots,77480,Montigny-le-Guesdier,C+O,48.37919,3.257774
421,770150028P-18,18,Rue Grande,77480,Baby,C+O,48.394587,3.3425860000000003
438,771870040E-29,29,Rue de l'Église,77480,Fontaine-Fourches,C+O,48.405984000000004,3.400225
594,913900968K-3,3,Route de Saint-Lubin,91660,Le Mérévillois,OSM,48.297084999999996,2.053252
719,770991459E-94,94,Route de Sceaux,77570,Château-Landon,CAD,48.129476000000004,2.668916
742,77099B100J-63,63,Hameau de Touvent,77570,Château-Landon,CAD,48.142685,2.720396
763,77050B071R-1,1,Le Moulin de Madame,77620,Bransles,CAD,48.140351,2.841919
1142,770270180C-13,13,Route de Gaubertin,77890,Beaumont-du-Gâtinais,C+O,48.131108000000005,2.4736130000000003
2069,77027B084E-78,78,Le Perray,77890,Beaumont-du-Gâtinais,C+O,48.125752,2.5204470000000003
2525,77207B026J-5000,5000,La Dimerie,77890,Gironville,CAD,48.141618,2.552121
2538,772970072L-5,5,Rue des Lilas,77570,Mondreville,C+O,48.139008000000004,2.607911
2543,772970041C-42,42,Rue de la Garde,77570,Mondreville,C+O,48.139813000000004,2.616935
2572,770991280K-6333,6333,Ham du Pont de Dordives,77570,Château-Landon,CAD,48.14537,2.7519169999999997
2573,77099B162B-6455,6455,Prairie du Pont de Dordive,77570,Château-Landon,CAD,48.146509,2.755186
3872,77027B067L-5443,5443,Le Mesnil,77890,Beaumont-du-Gâtinais,C+O,48.132016,2.4483770000000002
3906,772970160G-20,20,Route de Sceaux,77570,Mondreville,C+O,48.139165999999996,2.608853
3921,77099B203W-5633,5633,Le Veau,77570,Château-Landon,CAD,48.127662,2.680495
3933,770990700E-2,2,Ham de Heurtebise,77570,Château-Landon,CAD,48.146365,2.731313
4328,77027B067L-5442,5442,Le Mesnil,77890,Beaumont-du-Gâtinais,C+O,48.132220000000004,2.4487
4336,770270220W-34,34,Rue de la Laiterie,77890,Beaumont-du-Gâtinais,C+O,48.136869,2.48628
4337,77027B100X-22,22,Seineboue,77890,Beaumont-du-Gâtinais,C+O,48.138715999999995,2.4970939999999997
4347,77207B058U-5000,5000,La Montagne au Foucher,77890,Gironville,CAD,48.142819,2.5442110000000002
4367,772970041C-37,37,Rue de la Garde,77570,Mondreville,C+O,48.140309,2.617595
4385,77099B100J-6372,6372,Hameau de Touvent,77570,Château-Landon,CAD,48.142613,2.718861
4389,770990700E-6208,6208,Ham de Heurtebise,77570,Château-Landon,CAD,48.146594,2.733012
4398,77050B070P-1,1,Moulin de Gros Lot,77620,Bransles,CAD,48.140079,2.80389
4818,772970160G-25B,25BIS,Route de Sceaux,77570,Mondreville,C+O,48.139265,2.60929
4834,77099B076H-5630,5630,Foljuif,77570,Château-Landon,CAD,48.128406,2.684123
4840,77099B100J-6373B,6373B,Hameau de Touvent,77570,Château-Landon,CAD,48.142881,2.7169209999999997
4846,770991160E-6226,6226,Ham de Neronville,77570,Château-Landon,CAD,48.147502,2.739323
5251,77027B084E-50B,50BIS,Le Perray,77890,Beaumont-du-Gâtinais,C+O,48.130344,2.518323
5253,77027B084E-52,52,Le Perray,77890,Beaumont-du-Gâtinais,C+O,48.129902,2.518571
5254,77027B084E-5469,5469,Le Perray,77890,Beaumont-du-Gâtinais,C+O,48.128322999999995,2.520293
5256,77027B111J-43,43,Villeneuve,77890,Beaumont-du-Gâtinais,C+O,48.132293,2.521451
5274,772970041C-24,24,Rue de la Garde,77570,Mondreville,C+O,48.139769,2.613108
5281,770991459E-86,86,Route de Sceaux,77570,Château-Landon,CAD,48.129932000000004,2.668844
5287,770991459E-40,40,Route de Sceaux,77570,Château-Landon,CAD,48.129529999999995,2.671944
5288,770990765A-75,75,Route de Jallemain,77570,Château-Landon,CAD,48.129682,2.676806
5290,77099B076H-5632,5632,Foljuif,77570,Château-Landon,CAD,48.128626000000004,2.684238
5291,77099B183Z-2,2,Les Salles,77570,Château-Landon,CAD,48.126917999999996,2.691115
5292,770990420A-6391,6391,Ham de Flumotte,77570,Château-Landon,CAD,48.12551,2.693508
5295,77099B176S-5583,5583,Robertin,77570,Château-Landon,CAD,48.140506,2.702109
5310,77050B098V-5174,5174,Verdeau,77620,Bransles,CAD,48.146458,2.799359
5322,77050B050T-1,1,Genouilly,77620,Bransles,CAD,48.143111,2.829554
5339,771680111P-3,3,Chemin de César,77620,Égreville,C+O,48.160638,2.906719
5700,770270180C-11,11,Route de Gaubertin,77890,Beaumont-du-Gâtinais,OSM,48.131932,2.476325
5701,770270380V-45,45,Rue du Pont,77890,Beaumont-du-Gâtinais,OSM,48.13357,2.4789470000000002
5702,770270220W-26,26,Rue de la Laiterie,77890,Beaumont-du-Gâtinais,OSM,48.136788,2.485512
5707,77027B111J-48,48,Villeneuve,77890,Beaumont-du-Gâtinais,C+O,48.131384000000004,2.518432
5709,77027B111J-36,36,Villeneuve,77890,Beaumont-du-Gâtinais,C+O,48.133094,2.519109
5710,77027B111J-41,41,Villeneuve,77890,Beaumont-du-Gâtinais,C+O,48.132452,2.52122
5711,77027B111J-6,6,Villeneuve,77890,Beaumont-du-Gâtinais,C+O,48.135760999999995,2.522558
5712,77027B111J-1,1,Villeneuve,77890,Beaumont-du-Gâtinais,C+O,48.137024,2.523341
5713,77207B008P-5000,5000,Le Bout des Quatorze,77890,Gironville,CAD,48.144667,2.53118
5736,77297B085G-19,19,Tremainville,77570,Mondreville,CAD,48.154245,2.630941
5743,770991459E-66T,66TER,Route de Sceaux,77570,Château-Landon,CAD,48.13132,2.671366
5744,770990765A-59,59,Route de Jallemain,77570,Château-Landon,CAD,48.129816,2.677767
5745,770990765A-29A,29A,Route de Jallemain,77570,Château-Landon,CAD,48.130140000000004,2.6826830000000004
5746,770990765A-24,24,Route de Jallemain,77570,Château-Landon,CAD,48.133361,2.6864209999999997
5747,770990580Z-153,153,Ham de Grand Gasson,77570,Château-Landon,CAD,48.134108000000005,2.69022
5748,77099B087V-91,91,Le Grand Gasson,77570,Château-Landon,CAD,48.13564,2.693163
5749,770990580Z-66,66,Ham de Grand Gasson,77570,Château-Landon,CAD,48.136425,2.694234
6153,77027B051U-5234,5234,La Gare,77890,Beaumont-du-Gâtinais,C+O,48.142452,2.467952
6155,770270120M-3,3,Place de l'Église,77890,Beaumont-du-Gâtinais,OSM,48.136915,2.4737669999999996
6156,770270280L-23,23,Rue Montgaudier,77890,Beaumont-du-Gâtinais,OSM,48.137845,2.475705
6157,770270200Z-62,62,Rue de l'Hôtel de Ville,77890,Beaumont-du-Gâtinais,OSM,48.137954,2.4803580000000003
6158,770270220W-23,23,Rue de la Laiterie,77890,Beaumont-du-Gâtinais,C+O,48.137544,2.4849580000000002
6159,77027B003S-12,12,Barnonville,77890,Beaumont-du-Gâtinais,C+O,48.139758,2.489387
6160,77027B071R-21,21,Le Moulin Berton,77890,Beaumont-du-Gâtinais,C+O,48.138967,2.496869
6164,77027B111J-29,29,Villeneuve,77890,Beaumont-du-Gâtinais,C+O,48.134324,2.519411
6166,77027B111J-3,3,Villeneuve,77890,Beaumont-du-Gâtinais,C+O,48.136676,2.5230040000000002
6183,77297B029W-5165,5165,Le Clos à Patron,77570,Mondreville,CAD,48.142978,2.598734
6184,772970139J-7,7,Rue Saint-Gueneau,77570,Mondreville,C+O,48.140896999999995,2.60626
6192,77297B085G-17,17,Tremainville,77570,Mondreville,CAD,48.154354,2.6311419999999996
6193,77110B005H-21,21,Butteau,77570,Chenou,CAD,48.153764,2.6590830000000003
6195,770990230U-13,13,Rue de la Champagne,77570,Château-Landon,C+O,48.140675,2.669502
6199,770990230U-5B,5BIS,Rue de la Champagne,77570,Château-Landon,C+O,48.140384999999995,2.672027
6200,770990230U-1,1,Rue de la Champagne,77570,Château-Landon,C+O,48.140471000000005,2.673187
6201,770990765A-5664,5664,Route de Jallemain,77570,Château-Landon,CAD,48.137851,2.687498
6203,770990765A-12,12,Route de Jallemain,77570,Château-Landon,CAD,48.138161,2.6904209999999997
6205,77099B044Y-5575,5575,Chateau de Gasson,77570,Château-Landon,CAD,48.139316,2.6966799999999997
6207,77099B195M-6374,6374,Le Trou de Greve,77570,Château-Landon,CAD,48.143812,2.711753
6228,77050B023N-6,6,Brandard,77620,Bransles,CAD,48.138329,2.80571
6229,77050B023N-3,3,Brandard,77620,Bransles,CAD,48.139495000000004,2.8094759999999996
6232,77050B087H-2,2,Rochemort,77620,Bransles,CAD,48.142107,2.8211779999999997
6244,771680113S-32,32,Rue de Chevry,77620,Égreville,C+O,48.165544,2.875554
6327,77310B015Z-5097,5097,Le Chemin de Pont,77480,Montigny-le-Guesdier,CAD,48.377736,3.233126
6611,770270160F-36,36,Avenue de la Gare,77890,Beaumont-du-Gâtinais,OSM,48.142249,2.471131
6612,77027B092N-12,12,Route de Puiseaux,77890,Beaumont-du-Gâtinais,OSM,48.14243,2.475691
6613,770270370J-9,9,Rue des Ormeaux,77890,Beaumont-du-Gâtinais,C+O,48.140511,2.480448
6614,77027B003S-41,41,Barnonville,77890,Beaumont-du-Gâtinais,C+O,48.142793,2.487349
6615,77027B003S-28,28,Barnonville,77890,Beaumont-du-Gâtinais,C+O,48.142235,2.4895869999999998
6616,77027B100X-11,11,Seineboue,77890,Beaumont-du-Gâtinais,C+O,48.14351,2.494348
6617,77027B100X-20,20,Seineboue,77890,Beaumont-du-Gâtinais,C+O,48.142601,2.498031
6621,77027B111J-21,21,Villeneuve,77890,Beaumont-du-Gâtinais,C+O,48.135108,2.52041
6631,772070116A-19,19,Ham de Pilvernier,77890,Gironville,CAD,48.15153,2.563893
6632,772970100S-5,5,Ham de Pilvernier,77570,Mondreville,CAD,48.151478999999995,2.568035
6640,772970023H-1,1,Rue des Cerisiers,77570,Mondreville,C+O,48.143175,2.604433
6641,772970160G-6,6,Route de Sceaux,77570,Mondreville,C+O,48.142219,2.608628
6642,772970025K-3,3,Route de Château Landon,77570,Mondreville,C+O,48.142953000000006,2.611421
6649,77110B063W-7,7,Tremainville,77570,Chenou,CAD,48.15566,2.6326560000000003
6652,77110B005H-7,7,Butteau,77570,Chenou,CAD,48.152587,2.66169
6655,770990230U-2,2,Rue de la Champagne,77570,Château-Landon,C+O,48.140929,2.671837
6659,770990783V-4,4,Rue Jean Monnet,77570,Château-Landon,C+O,48.143419,2.6926400000000004
6660,770990805U-9,9,Rue Jules Massenet,77570,Château-Landon,C+O,48.142055,2.695102
6661,770990880A-6,6,Rue Lucien Oriol,77570,Château-Landon,OSM,48.142452,2.699407
6662,77099B002C-5,5,Bas de Saint Andre,77570,Château-Landon,CAD,48.143601000000004,2.702381
6663,770991461G-6,6,Rue du Pithurin,77570,Château-Landon,CAD,48.145022,2.709376
6665,77099B100J-6373A,6373A,Hameau de Touvent,77570,Château-Landon,CAD,48.142838,2.717947
6667,77099B013P-6365,6365,Bois de Fusselette,77570,Château-Landon,CAD,48.145739,2.724426
6671,77099B032K-6314,6314,Le Camp,77570,Château-Landon,CAD,48.147616,2.7461759999999997
6673,770991280K-227,227,Ham du Pont de Dordives,77570,Château-Landon,CAD,48.145859,2.7526330000000003
6678,774580038Z-7,7,Ham des Bois des Haies,77460,Souppes-sur-Loing,CAD,48.161823999999996,2.7715009999999998
6684,77050B080A-2,2,Prairie de Gros Lot,77620,Bransles,CAD,48.141838,2.804798
6685,77050B079Z-10,10,Pontleve,77620,Bransles,CAD,48.142551,2.808921
6686,77050B078Y-8,8,Pintois,77620,Bransles,CAD,48.142452,2.814379
6687,77050B087H-4,4,Rochemort,77620,Bransles,CAD,48.142575,2.818868
6688,77050B087H-1,1,Rochemort,77620,Bransles,CAD,48.143434,2.822334
6691,77050B038E-2,2,La Chevre,77620,Bransles,CAD,48.146556,2.836057
6692,77050B097U-5,5,La Vallee du Charme,77620,Bransles,CAD,48.143652,2.841771
6693,77050B049S-4,4,Les Gains,77620,Bransles,CAD,48.140815,2.845793
6694,77050B002R-2,2,Barbigny,77620,Bransles,CAD,48.142592,2.848647
6699,771680521K-11,11,Rue des Menins,77620,Égreville,C+O,48.165413,2.874112
6713,771680447E-4,4,Route des Mares,77620,Égreville,C+O,48.161662,2.9088119999999997
7067,770270160F-46,46,Avenue de la Gare,77890,Beaumont-du-Gâtinais,OSM,48.143593,2.470586
7068,77027B112K-14,14,Lotissement du Moulin,77890,Beaumont-du-Gâtinais,C+O,48.142912,2.4754389999999997
7069,770270480D-16,16,Route de Puiseaux,77890,Beaumont-du-Gâtinais,C+O,48.142387,2.476682
7070,77027B003S-38B,38BIS,Barnonville,77890,Beaumont-du-Gâtinais,C+O,48.144308,2.488045
7071,77027B003S-38,38,Barnonville,77890,Beaumont-du-Gâtinais,C+O,48.144277,2.488203
7072,77027B100X-3,3,Seineboue,77890,Beaumont-du-Gâtinais,C+O,48.144247,2.4934060000000002
7073,77027B100X-14T,14TER,Seineboue,77890,Beaumont-du-Gâtinais,C+O,48.143496999999996,2.496588
7086,772970100S-33,33,Ham de Pilvernier,77570,Mondreville,CAD,48.152423999999996,2.559316
7089,772970100S-95,95,Ham de Pilvernier,77570,Mondreville,CAD,48.151123,2.5705299999999998
7097,772970021F-25,25,Rue du Bout d'en Haut,77570,Mondreville,C+O,48.146770000000004,2.6097080000000004
7098,772970021F-48,48,Rue du Bout d'en Haut,77570,Mondreville,C+O,48.147559,2.610704
7099,77297B038F-4,4,La Garde,77570,Mondreville,CAD,48.14076,2.615143
7101,77297B085G-5159,5159,Tremainville,77570,Mondreville,CAD,48.154269,2.6303360000000002
7105,77110B063W-1A,1A,Tremainville,77570,Chenou,CAD,48.156634999999994,2.633612
7110,77099B133V-5672A,5672A,Nisceville,77570,Château-Landon,CAD,48.141019,2.6698459999999997
7113,77099B172M-9001,9001,La Raperie,77570,Château-Landon,CAD,48.154047,2.685298
7114,77099B185B-5804,5804,Les Sentiers,77570,Château-Landon,CAD,48.153760999999996,2.686874
7115,770990480R-14,14,Rue de la Gare,77570,Château-Landon,OSM,48.149372,2.693539
7116,770990030B-9004,9004,Rue André Gauquelin,77570,Château-Landon,C+O,48.146669,2.694403
7117,770991240S-6,6,Rue Paul Jozon,77570,Château-Landon,C+O,48.147009999999995,2.699709
7118,770990225N-16,16,Rue de la Cave Calot,77570,Château-Landon,C+O,48.145990999999995,2.7049630000000002
7119,77099B141D-6382,6382,La Pente des Gauthiers,77570,Château-Landon,CAD,48.147052,2.708534
7120,770990920U-30,30,Rue des Martins,77570,Château-Landon,C+O,48.14776,2.713461
7121,77099B084S-6140A,6140A,Gilliet,77570,Château-Landon,CAD,48.14774,2.717733
7122,77099B078K-7,7,Fusselette,77570,Château-Landon,CAD,48.145754,2.722832
7123,77099B011M-6175,6175,Bigonneau,77570,Château-Landon,CAD,48.149605,2.7277
7124,770990700E-11,11,Ham de Heurtebise,77570,Château-Landon,CAD,48.147087,2.731681
7125,77099B139B-6216,6216,Le Paupacier,77570,Château-Landon,CAD,48.147982,2.736391
7126,770991160E-78,78,Ham de Neronville,77570,Château-Landon,CAD,48.148041,2.740654
7128,770991280K-6323,6323,Ham du Pont de Dordives,77570,Château-Landon,CAD,48.146483,2.751694
7140,770500250D-21,21,Rue de la Vallée Au Chat,77620,Bransles,C+O,48.148374,2.8068150000000003
7141,770500036W-1,1,Rue du Bois Maréchal,77620,Bransles,C+O,48.146768,2.809081
7142,770500205E-1,1,Rue de la Jeandrillonnerie,77620,Bransles,C+O,48.146301,2.812159
7143,77050B087H-5228,5228,Rochemort,77620,Bransles,CAD,48.144467,2.821186
7145,770500160F-30,30,Avenue du Gâtinais,77620,Bransles,C+O,48.147176,2.830678
7146,770500160F-28,28,Avenue du Gâtinais,77620,Bransles,C+O,48.147740999999996,2.831064
7147,77050B038E-1,1,La Chevre,77620,Bransles,CAD,48.147456,2.83696
7148,77050B097U-2,2,La Vallee du Charme,77620,Bransles,CAD,48.14522,2.841128
7149,77050B025R-8,8,La Brosse,77620,Bransles,CAD,48.149353999999995,2.842066
7154,771680521K-19,19,Rue des Menins,77620,Égreville,C+O,48.165696000000004,2.8727259999999997
7529,77027B100X-13T,13TER,Seineboue,77890,Beaumont-du-Gâtinais,C+O,48.143640000000005,2.496147
7532,77207B031P-5065,5065,Ferme de Saint Pierre,77890,Gironville,CAD,48.163364,2.520897
7534,77207B001G-5067,5067,L'Avenir,77890,Gironville,CAD,48.157685,2.5283
7537,77207B032R-5071,5071,Ferme des Vaneaux,77890,Gironville,CAD,48.154651,2.5372689999999998
7543,772070116A-25,25,Ham de Pilvernier,77890,Gironville,CAD,48.15178,2.562548
7552,772970108A-2,2,Chemin des Pommiers,77570,Mondreville,CAD,48.147674,2.609728
7553,772970021F-33,33,Rue du Bout d'en Haut,77570,Mondreville,C+O,48.147821,2.609836
7556,77110B063W-32,32,Tremainville,77570,Chenou,CAD,48.15462,2.630141
7565,77110B005H-1,1,Butteau,77570,Chenou,CAD,48.152867,2.66296
7566,771100065S-13,13,Rue Saint-Pierre,77570,Chenou,C+O,48.154206,2.663925
7567,770990960M-5829,5829,Ham de Mezinville,77570,Château-Landon,CAD,48.156432,2.673083
7568,770990960M-75,75,Ham de Mezinville,77570,Château-Landon,CAD,48.156473999999996,2.675924
7571,770991340A-6486,6486,Route de Puiseaux,77570,Château-Landon,C+O,48.151872999999995,2.691614
7572,770990500M-31,31,Rue du Gâtinais,77570,Château-Landon,OSM,48.150751,2.6948540000000003
7573,770990340N-4,4,Rue Creuse,77570,Château-Landon,C+O,48.150813,2.698654
7574,770991540T-11,11,Route de Souppes,77570,Château-Landon,C+O,48.151876,2.704144
7575,770990200L-5,5,Rue du Capitaine Antoine Chambon,77570,Château-Landon,C+O,48.15157,2.70885
7576,770990240E-2B,2BIS,Rue de Chèvre,77570,Château-Landon,C+O,48.151509000000004,2.713948
7577,770991001G-3,3,Route de Mocpoix,77570,Château-Landon,C+O,48.151419,2.715341
7578,770991300G-6,6,Ham de Pont Franc,77570,Château-Landon,CAD,48.151505,2.722115
7579,770991300G-6080,6080,Ham de Pont Franc,77570,Château-Landon,CAD,48.152519,2.72693
7580,77099B191H-6359,6359,La Tambougnoterie,77570,Château-Landon,CAD,48.152439,2.7287630000000003
7581,770991283N-1,1,Rue du Pont de César,77570,Château-Landon,C+O,48.149193,2.735447
7582,770990320S-10,10,Ham de la Concorde,77570,Château-Landon,CAD,48.153793,2.739937
7583,770991160E-6284A,6284A,Ham de Neronville,77570,Château-Landon,CAD,48.151028000000004,2.745038
7584,77099B162B-6458,6458,Prairie du Pont de Dordive,77570,Château-Landon,CAD,48.150847,2.751276
7585,77099B162B-6405,6405,Prairie du Pont de Dordive,77570,Château-Landon,CAD,48.150915000000005,2.754416
7591,774580038Z-11,11,Ham des Bois des Haies,77460,Souppes-sur-Loing,CAD,48.161974,2.771709
7592,77050B027T-3,3,Les Buis,77620,Bransles,CAD,48.152241,2.799284
7596,770500250D-23,23,Rue de la Vallée Au Chat,77620,Bransles,C+O,48.148792,2.806691
7597,770500250D-14,14,Rue de la Vallée Au Chat,77620,Bransles,C+O,48.148415,2.808233
7598,770500205E-2,2,Rue de la Jeandrillonnerie,77620,Bransles,C+O,48.14686,2.8115639999999997
7599,77050B055Y-5,5,Les Grandes Bordes,77620,Bransles,CAD,48.157869,2.818693
7600,770500080U-62,62,Rue de César,77620,Bransles,C+O,48.153003999999996,2.827921
7601,770500080U-53,53,Rue de César,77620,Bransles,C+O,48.151496,2.828179
7602,770500200Z-6,6,Rue du Gué,77620,Bransles,C+O,48.151603,2.8324689999999997
7603,770500240T-9,9,Rue Saint-Loup,77620,Bransles,C+O,48.151634,2.836705
7604,77050B025R-5097,5097,La Brosse,77620,Bransles,CAD,48.150904,2.842213
7606,77050B064H-6,6,Mignonville,77620,Bransles,CAD,48.156102000000004,2.845371
7613,771680055D-34,34,Rue du Bois des Places,77620,Égreville,C+O,48.167051,2.8820650000000003
7624,771680386N-38,38,Route de Jouy,77620,Égreville,C+O,48.170361,2.914843
7634,775000021Y-13,13,Impasse du Marchais Rouge,77710,Villebéon,C+O,48.196881,2.9502599999999997
7984,77027B100X-1,1,Seineboue,77890,Beaumont-du-Gâtinais,C+O,48.144284999999996,2.492973
7999,77297B033A-4,4,La Curee,77570,Mondreville,CAD,48.158087,2.564307
8000,772970028N-4,4,Route de la Curée,77570,Mondreville,OSM,48.153141,2.566807
8001,772970100S-2B,2BIS,Ham de Pilvernier,77570,Mondreville,CAD,48.151624,2.57001
8013,77110B063W-30,30,Tremainville,77570,Chenou,CAD,48.154856,2.630209
8014,77110B063W-22,22,Tremainville,77570,Chenou,CAD,48.155419,2.631222
8020,77110B005H-16,16,Butteau,77570,Chenou,CAD,48.154103000000006,2.6594130000000002
8021,771100065S-10,10,Rue Saint-Pierre,77570,Chenou,C+O,48.156665000000004,2.663948
8022,771100010G-1,1,Rue de Chateau Landon,77570,Chenou,CAD,48.15704,2.66752
8023,770990960M-5838,5838,Ham de Mezinville,77570,Château-Landon,CAD,48.156813,2.6721220000000003
8024,770990960M-53,53,Ham de Mezinville,77570,Château-Landon,CAD,48.156905,2.677104
8025,770990960M-56,56,Ham de Mezinville,77570,Château-Landon,CAD,48.157202000000005,2.67733
8026,77099B172M-5907A,5907A,La Raperie,77570,Château-Landon,CAD,48.155249,2.687436
8027,770990400D-1,1,Rue Fleming,77570,Château-Landon,C+O,48.154901,2.691926
8028,770990830W-2,2,Rue des Longs Réages,77570,Château-Landon,C+O,48.156042,2.6950119999999997
8029,770991587U-7,7,Rue de Vaucouleurs,77570,Château-Landon,C+O,48.157728000000006,2.695923
8030,770991540T-5001,5001,Route de Souppes,77570,Château-Landon,C+O,48.154841999999995,2.706672
8031,770991540T-6497,6497,Route de Souppes,77570,Château-Landon,C+O,48.155633,2.707954
8032,770990240E-8,8,Rue de Chèvre,77570,Château-Landon,C+O,48.152081,2.712609
8034,770991300G-9,9,Ham de Pont Franc,77570,Château-Landon,CAD,48.153348,2.725414
8035,770990868M-24,24,Rue de la Louvetière,77570,Château-Landon,C+O,48.158088,2.726379
8036,770991000F-80,80,Ham de Mocpoix,77570,Château-Landon,CAD,48.159597,2.729305
8037,77099B086U-5001,5001,Le Gourd,77570,Château-Landon,CAD,48.159765,2.735246
8038,770990840G-6312,6312,Hameau de Lorroy,77570,Château-Landon,C+O,48.156112,2.740773
8039,77099B162B-6467,6467,Prairie du Pont de Dordive,77570,Château-Landon,CAD,48.156703,2.745214
8040,77099B162B-6465,6465,Prairie du Pont de Dordive,77570,Château-Landon,CAD,48.154156,2.750775
8041,77099B162B-6463,6463,Prairie du Pont de Dordive,77570,Château-Landon,CAD,48.153968,2.7512790000000003
8042,774580155B-80,80,Rue de Montargis,77460,Souppes-sur-Loing,CAD,48.16305,2.758281
8047,77458B202J-1,1,La Tuilerie,77460,Souppes-sur-Loing,CAD,48.165183,2.7754849999999998
8051,77050B027T-1,1,Les Buis,77620,Bransles,CAD,48.152741999999996,2.8001970000000003
8056,77050B055Y-1,1,Les Grandes Bordes,77620,Bransles,CAD,48.157540999999995,2.820882
8057,77050B076W-1,1,Les Petites Bordes,77620,Bransles,CAD,48.157415,2.827347
8058,770500060X-12,12,Rue des Bordes,77620,Bransles,C+O,48.155091,2.832976
8059,770500080U-6,6,Rue de César,77620,Bransles,C+O,48.153044,2.835991
8060,77050B064H-2,2,Mignonville,77620,Bransles,CAD,48.155823999999996,2.8446700000000003
8396,911120017K-15,15,Rue du Gatinais,91150,Brouy,C+O,48.314619,2.28036
8441,77027B100X-6,6,Seineboue,77890,Beaumont-du-Gâtinais,C+O,48.14416,2.493827
8447,77207B030N-5066,5066,Ferme de l'Avenir,77890,Gironville,CAD,48.159569,2.5276099999999997
8452,77009B075Y-5003,5003,Les Rayons,77890,Arville,CAD,48.169872999999995,2.551572
8453,77009B075Y-5004,5004,Les Rayons,77890,Arville,CAD,48.168907,2.55766
8454,772970028N-10,10,Route de la Curée,77570,Mondreville,C+O,48.158615000000005,2.564234
8456,77297B033A-2,2,La Curee,77570,Mondreville,CAD,48.158361,2.564572
8458,77009B075Y-5006,5006,Les Rayons,77890,Arville,CAD,48.167246999999996,2.567841
